;marca;preco
0;Notebook Asus AMD Ryzen 5-3500U, 8GB RAM, SSD 256GB, 15,6', Radeon Vega 8, Windows 11 Home, Cinza - M515DA-BR1213W;R$ 2.699,99
1;Notebook Gamer Lenovo Gaming 3i Intel Core i5-11300H, GeForce GTX 1650, 8GB RAM, SSD 512GB, 15.6 Full HD, Windows 11, Preto  - 82MG0009BR;R$ 4.309,99
2;Notebook Samsung Intel Core i5-1135G7, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11 Pro, Cinza - NP550XDA-KH6BR;R$ 3.199,99
3;"Notebook Acer Aspire 5 A514-54-52TY, Intel Core I5 11a Geração, 8GB, 256GB SSD, 14"" Full HD, Windows 11 Home";R$ 3.181,55
4;Notebook Asus AMD Ryzen 5-3500U, 8GB RAM, SSD 256GB, 15,6', Radeon Vega 8, Linux, Cinza - M515DA-BR1213;R$ 2.649,99
5;Notebook Acer Aspire 5 Intel Core i7-10510U, 8GB RAM, 512GB SSD NVMe, Tela 15.6 IPS Full HD, Windows 11 Home, Prata - A515-54-74F9;R$ 4.199,99
6;Notebook Acer Aspire 5, Intel Core I5 11ª Gen, 8GB, SSD 256GB, 14 Pol. Full HD, Linux Gutta - A514-54-56lf;R$ 2.849,05
7;Notebook Gamer Acer Nitro 5 Intel Core i7-11800H, GeForce GTX 1650, 8GB RAM, SSD 512GB, 15.6 Full HD 144Hz IPS, Windows 11, Preto - AN515-57-740K;R$ 5.999,99
8;Notebook Gamer Acer Nitro 5 AMD Ryzen 7-4800H, 8GB RAM, SSD 256GB, GeForce GTX 1650, HDD 1TB, 15.6 Full HD, Windows 11, Preto  - AN515-44-R629;R$ 5.299,99
9;Notebook Gamer Lenovo Gaming 3i Intel Core i5-11300H, GeForce GTX1650, 8GB RAM, SSD 512GB, 15.6 Full HD, Linux, Preto - 82MGS00200;R$ 4.299,99
10;Notebook Acer Aspire 5, Intel Core I7 11ª Gen, 8GB, SSD 512GB, 15.6 Pol. Full HD, Linux Gutta - A515-56-740v;R$ 3.609,05
11;Notebook Acer Aspire 3, Intel Celeron N4020 Dual Core, 4GB RAM, SSD 128GB, 15.6 HD, Windows 11, Preto - A315-34-C2BV;R$ 1.843,57
12;Notebook Acer Aspire 5 AMD Ryzen R7 5700U, 8GB RAM, SSD 256GB, 15.6 Full HD, Linux, Prata - A515-45-R4ZF;R$ 3.299,99
13;Notebook Lenovo IdeaPad 3i Intel Celeron N4020 Dual Core, 4GB, SSD 128GB, Windows 11, 15.6, Prata - 82BU0006BR;R$ 1.999,99
14;Notebook Lenovo Ultrafino IdeaPad 3i Intel Core i5-1135G7, 8GB RAM, SSD 256GB, 15.6 Full HD, Iris Xe, Windows 11, Cinza - 82MD0007BR;R$ 3.599,99
15;Notebook Gamer Dell Alienware m15 R6 Intel Core i7-11800H, 16GB RAM, SSD 1TB, GeForce RTX 3070, 15.6 FHD, Windows  11, Preto - AW15-i1100-A30P;R$ 11.299,99
16;Notebook Acer Aspire 3 Intel Core i3-1115G4, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11, Prata - A315-58-31UY;R$ 2.799,99
17;Notebook Acer Aspire 3 Intel Celeron N4020, 4GB RAM, SSD 128GB NVMe, Tela 15,6', Intel UHD Graphic 600, Windows 11 Home, Preto - A315-34-C9WH;R$ 1.996,99
18;Notebook Acer Aspire 5 Intel Core i5-10210U, GeForce MX 250, 8GB RAM, 512GB SSD NVMe, 15.6 IPS FHD, Windows 11 Home, Prata - A515-54G-52FY;R$ 3.999,99
19;Notebook Gamer Lenovo Gaming 3 AMD Ryzen 7-5800H, GeForce GTX1650, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11, Preto  - 82MJ0001BR;R$ 5.999,99
20;Notebook Acer Swift 3 Intel Core i5-1135G7 EVO, 16GB RAM, SSD 512GB, 14 Full HD, Windows 11 Home, Azul - SF314-511-56UR;R$ 4.599,99
21;Notebook LG Gram Intel Core i5, 8GB RAM, 256GB SSD, Tela 14 IPS FHD, Windows 10 Home, Titanium - 14Z90N;R$ 3.799,99
22;Notebook Lenovo Ideapad - Tela 15.6'' Full HD, Ryzen 5 5500u, 12GB, SSD 256GB, Linux - 82mfs00000;R$ 2.903,12
23;Notebook Vaio FE15 Intel Core i3-1215U, 4GB RAM, SSD 256GB, 15.6 Full HD, Windows 11, Cinza Grafite - VJFE54F11X-B0521H;R$ 2.589,99
24;Notebook Acer Aspire 3 A315-58-573p, Intel Core I5 11a Gen, 8GB RAM, 256GB SSD, Tela 15.6 Polegadas FHD, Intel Iris Xe, Windows 11 Home, Prata;R$ 3.249,90
25;Notebook Gamer 2am E550 Nvidia Geforce Gtx 1050 3gb - Windows 10 Home Core I5-9400 8gb | 1tb + Ssd 128gb Fullhd 15.6.;R$ 3.549,00
26;Notebook Acer Aspire 5, Intel Core I5 11ª Gen, 8GB RAM, SSD 512GB, 15.6 Polegadas, Nvidia GeForce MX350 2GB, Windows 11 Home, Prata - A515-56G-551P;R$ 3.753,00
